Wilayah;CH ( mm );Temp
Sumatera ;34;34
DKI Jakarta;42;22
Kalimantan;32;55
Jawa Tengah;67;24
Jawa Timur;56;52
Sumatera ;34;23
DKI Jakarta;42;52
Kalimantan;32;99
Jawa Tengah;67;66
Jawa Timur;56;55
Sumatera ;34;22
DKI Jakarta;42;88
Kalimantan;32;45
Jawa Tengah;69;34
Jawa Timur;56;22
Sumatera ;34;55
DKI Jakarta;42;24
Kalimantan;382;52
Jawa Tengah;67;23
Jawa Timur;56;52
Sumatera ;304;99
DKI Jakarta;42;66
Kalimantan;32;55
Jawa Tengah;67;22
Jawa Timur;56;88
Sumatera ;34;45
DKI Jakarta;42;34
Kalimantan;32;22
Jawa Tengah;67;55
Jawa Timur;56;24
Sumatera ;34;52
DKI Jakarta;42;23
Kalimantan;32;52
Jawa Tengah;67;99
Jawa Timur;56;66
Sumatera ;34;55
DKI Jakarta;42;22
Kalimantan;32;88
Jawa Tengah;67;45
Jawa Timur;56;34
Sumatera ;34;22
DKI Jakarta;42;55
Kalimantan;32;24
Jawa Tengah;67;52
Jawa Timur;56;23
Sumatera ;34;52
DKI Jakarta;42;99
Kalimantan;32;66
Jawa Tengah;67;55
Jawa Timur;56;22
Sumatera ;34;88
DKI Jakarta;42;45
Kalimantan;32;23
Jawa Tengah;67;64
Jawa Timur;56;23
Sumatera ;334;5
DKI Jakarta;42;50
Kalimantan;32;53
Jawa Tengah;67;22
Jawa Timur;6;55
